LABEL,TIME,FRAME
1+0/1,10.272,493056
2+0/1,16.152,775296
3+0/1,21.456,1029888
4+0/1,26.32,1263360
5+0/1,32.672,1568256
6+0/1,38.784,1861632
7+0/1,44.32,2127360
8+0/1,49.6,2380800
9+0/1,56.5547,2714624
10+0/1,62.8,3014400
11+0/1,69.354,3328992
12+0/1,74.16,3559680
13+0/1,80.584,3868032
14+0/1,87.584,4204032
15+0/1,93.184,4472832
16+0/1,98.7307,4739072
17+0/1,106.446,5109408
18+0/1,111.872,5369856
19+0/1,118.443,5685248
20+0/1,123.381,5922304
21+0/1,130.741,6275584
22+0/1,137.712,6610176
23+0/1,144.384,6930432
24+0/1,150.507,7224320
25+0/1,159.573,7659520
26+0/1,167.232,8027136
27+0/1,174.8,8390400
28+0/1,181.616,8717568
29+0/1,189.536,9097728
30+0/1,196.248,9419904
31+0/1,201.76,9684480
32+0/1,207.024,9937152
