LABEL,TIME,FRAME
0+11/8,9.472,454656
1+0/1,10.272,493056
1+1/8,11.072,531456
1+1/4,11.552,554496
1+3/8,12.032,577536
1+1/2,12.416,595968
1+5/8,12.896,619008
1+3/4,13.44,645120
1+7/8,13.908,667584
1+1/1,14.352,688896
1+9/8,14.832,711936
1+5/4,15.232,731136
1+11/8,15.618,749664
2+0/1,16.152,775296
2+1/8,16.596,796608
2+1/4,17.008,816384
2+3/8,17.7,849600
2+1/2,18.126,870048
2+5/8,18.608,893184
2+3/4,19.104,916992
2+7/8,19.488,935424
2+1/1,19.864,953472
2+9/8,20.28,973440
2+5/4,20.64,990720
2+11/8,20.994,1007712
3+0/1,21.456,1029888
3+1/8,21.834,1048032
3+1/4,22.208,1065984
3+3/8,22.656,1087488
3+1/2,22.998,1103904
3+5/8,23.392,1122816
3+3/4,23.802,1142496
3+7/8,24.168,1160064
3+1/1,24.56,1178880
3+9/8,24.966,1198368
3+5/4,25.35,1216800
3+11/8,25.728,1234944
4+0/1,26.32,1263360
4+1/8,26.892,1290816
4+1/4,27.408,1315584
4+3/8,27.904,1339392
4+1/2,28.384,1362432
4+5/8,28.908,1387584
4+3/4,29.584,1420032
4+7/8,30,1440000
4+1/1,30.448,1461504
4+9/8,30.87,1481760
4+5/4,31.264,1500672
4+11/8,31.884,1530432
5+0/1,32.672,1568256
5+1/8,33.252,1596096
5+1/4,33.672,1616256
5+3/8,34.32,1647360
5+1/2,34.864,1673472
5+5/8,35.44,1701120
5+3/4,36.016,1728768
5+7/8,36.6,1756800
5+1/1,37.072,1779456
5+9/8,37.456,1797888
5+5/4,37.84,1816320
5+11/8,38.288,1837824
6+0/1,38.784,1861632
6+1/8,39.344,1888512
6+1/4,39.728,1906944
6+3/8,40.08,1923840
6+1/2,40.528,1945344
6+5/8,40.992,1967616
6+3/4,41.652,1999296
6+7/8,42.176,2024448
6+1/1,42.592,2044416
6+9/8,43.104,2068992
6+5/4,43.488,2087424
6+11/8,43.878,2106144
7+0/1,44.32,2127360
7+1/8,44.6933,2145280
7+1/4,45.078,2163744
7+3/8,45.648,2191104
7+1/2,46.144,2214912
7+5/8,46.576,2235648
7+3/4,46.974,2254752
7+7/8,47.358,2273184
7+1/1,47.776,2293248
7+9/8,48.192,2313216
7+5/4,48.576,2331648
7+11/8,49.0067,2352320
8+0/1,49.6,2380800
8+1/8,50.2827,2413568
8+1/4,50.7133,2434240
8+3/8,51.2533,2460160
8+1/2,51.888,2490624
8+5/8,52.65,2527200
8+3/4,53.44,2565120
8+7/8,54.032,2593536
8+1/1,54.48,2615040
8+9/8,54.9,2635200
8+5/4,55.3493,2656768
8+11/8,55.8933,2682880
9+0/1,56.5547,2714624
9+1/8,57.12,2741760
9+1/4,57.546,2762208
9+3/8,58,2784000
9+1/2,58.4853,2807296
9+5/8,58.9867,2831360
9+3/4,59.84,2872320
9+7/8,60.438,2901024
9+1/1,60.8853,2922496
9+9/8,61.296,2942208
9+5/4,61.6853,2960896
9+11/8,62.124,2981952
10+0/1,62.8,3014400
10+1/8,63.328,3039744
10+1/4,63.776,3061248
10+3/8,64.302,3086496
10+1/2,64.864,3113472
10+5/8,65.5787,3147776
10+3/4,66.592,3196416
10+7/8,67.206,3225888
10+1/1,67.648,3247104
10+9/8,68.0213,3265024
10+5/4,68.384,3282432
10+11/8,68.8,3302400
11+0/1,69.354,3328992
11+1/8,69.792,3350016
11+1/4,70.176,3368448
11+3/8,70.576,3387648
11+1/2,70.944,3405312
11+5/8,71.312,3422976
11+3/4,71.808,3446784
11+7/8,72.174,3464352
11+1/1,72.56,3482880
11+9/8,72.96,3502080
11+5/4,73.328,3519744
11+11/8,73.698,3537504
12+0/1,74.16,3559680
12+1/8,74.544,3578112
12+1/4,74.896,3595008
12+3/8,75.376,3618048
12+1/2,75.808,3638784
12+5/8,76.208,3657984
12+3/4,76.704,3681792
12+7/8,77.392,3714816
12+1/1,77.952,3741696
12+9/8,78.496,3767808
12+5/4,79.072,3795456
12+11/8,79.792,3830016
13+0/1,80.584,3868032
13+1/8,81.736,3923328
13+1/4,82.416,3955968
13+3/8,82.976,3982848
13+1/2,83.392,4002816
13+5/8,84.064,4035072
13+3/4,84.708,4065984
13+7/8,85.2,4089600
13+1/1,85.744,4115712
13+9/8,86.24,4139520
13+5/4,86.656,4159488
13+11/8,87.072,4179456
14+0/1,87.584,4204032
14+1/8,88.016,4224768
14+1/4,88.432,4244736
14+3/8,88.792,4262016
14+1/2,89.2,4281600
14+5/8,89.664,4303872
14+3/4,90.36,4337280
14+7/8,91.026,4369248
14+1/1,91.456,4389888
14+9/8,91.904,4411392
14+5/4,92.3093,4430848
14+11/8,92.752,4452096
15+0/1,93.184,4472832
15+1/8,93.568,4491264
15+1/4,94.016,4512768
15+3/8,94.592,4540416
15+1/2,95.142,4566816
15+5/8,95.568,4587264
15+3/4,96.064,4611072
15+7/8,96.464,4630272
15+1/1,96.88,4650240
15+9/8,97.3547,4673024
15+5/4,97.7813,4693504
15+11/8,98.1973,4713472
16+0/1,98.7307,4739072
16+1/8,99.424,4772352
16+1/4,100.016,4800768
16+3/8,100.536,4825728
16+1/2,101.2,4857600
16+5/8,101.784,4885632
16+3/4,103.136,4950528
16+7/8,103.701,4977664
16+1/1,104.192,5001216
16+9/8,104.586,5020128
16+5/4,105.141,5046784
16+11/8,105.717,5074432
17+0/1,106.446,5109408
17+1/8,106.997,5135872
17+1/4,107.424,5156352
17+3/8,107.888,5178624
17+1/2,108.256,5196288
17+5/8,108.715,5218304
17+3/4,109.227,5242880
17+7/8,109.632,5262336
17+1/1,110.016,5280768
17+9/8,110.379,5298176
17+5/4,110.795,5318144
17+11/8,111.189,5337088
18+0/1,111.872,5369856
18+1/8,112.448,5397504
18+1/4,112.864,5417472
18+3/8,113.408,5443584
18+1/2,113.892,5466816
18+5/8,114.613,5501440
18+3/4,115.712,5554176
18+7/8,116.336,5584128
18+1/1,116.736,5603328
18+9/8,117.12,5621760
18+5/4,117.472,5638656
18+11/8,117.894,5658912
19+0/1,118.443,5685248
19+1/8,118.944,5709312
19+1/4,119.307,5726720
19+3/8,119.744,5747712
19+1/2,120.107,5765120
19+5/8,120.48,5783040
19+3/4,120.944,5805312
19+7/8,121.328,5823744
19+1/1,121.717,5842432
19+9/8,122.112,5861376
19+5/4,122.496,5879808
19+11/8,122.864,5897472
20+0/1,123.381,5922304
20+1/8,123.856,5945088
20+1/4,124.256,5964288
20+3/8,124.816,5991168
20+1/2,125.291,6013952
20+5/8,125.744,6035712
20+3/4,126.315,6063104
20+7/8,127.184,6104832
20+1/1,127.872,6137856
20+9/8,128.416,6163968
20+5/4,128.992,6191616
20+11/8,129.68,6224640
21+0/1,130.741,6275584
21+1/8,131.605,6317056
21+1/4,132.192,6345216
21+3/8,132.768,6372864
