LABEL,TIME,FRAME
0+11/8,0.32,15360
1+0/1,1.2,57600
1+1/8,1.872,89856
1+1/4,2.384,114432
1+3/8,2.912,139776
1+1/2,3.424,164352
1+5/8,4.016,192768
1+3/4,4.592,220416
1+7/8,5.152,247296
1+1/1,5.632,270336
1+9/8,6.16,295680
1+5/4,6.704,321792
1+11/8,7.168,344064
2+0/1,7.792,374016
2+1/8,8.32,399360
2+1/4,8.768,420864
2+3/8,9.536,457728
2+1/2,10.032,481536
2+5/8,10.544,506112
2+3/4,11.152,535296
2+7/8,11.712,562176
2+1/1,12.208,585984
2+9/8,12.768,612864
2+5/4,13.296,638208
2+11/8,13.776,661248
3+0/1,14.304,686592
3+1/8,14.832,711936
3+1/4,15.328,735744
3+3/8,15.872,761856
3+1/2,16.528,793344
3+5/8,16.992,815616
3+3/4,17.616,845568
3+7/8,18.128,870144
3+1/1,18.704,897792
3+9/8,19.392,930816
3+5/4,20.016,960768
3+11/8,20.576,987648
4+0/1,21.248,1019904
4+1/8,22.096,1060608
4+1/4,22.88,1098240
4+3/8,23.472,1126656
4+7/16,23.888,1146624
4+1/2,24.224,1162752
4+9/16,24.528,1177344
4+5/8,24.88,1194240
4+11/16,25.2,1209600
4+3/4,25.632,1230336
4+7/8,26.336,1264128
4+1/1,26.864,1289472
4+9/8,27.376,1314048
4+5/4,27.952,1341696
4+11/8,28.48,1367040
5+0/1,29.248,1403904
5+1/8,29.872,1433856
5+1/4,30.352,1456896
5+3/8,30.896,1483008
5+7/16,31.136,1494528
5+1/2,31.488,1511424
5+9/16,31.84,1528320
5+5/8,32.16,1543680
5+11/16,32.416,1555968
5+3/4,32.72,1570560
5+7/8,33.392,1602816
5+1/1,33.936,1628928
5+9/8,34.384,1650432
5+19/16,34.608,1661184
5+5/4,34.88,1674240
5+21/16,35.088,1684224
5+11/8,35.36,1697280
5+23/16,35.584,1708032
6+0/1,35.92,1724160
6+1/16,36.224,1738752
6+1/8,36.48,1751040
6+3/16,36.72,1762560
6+1/4,36.992,1775616
6+5/16,37.168,1784064
6+3/8,37.488,1799424
6+7/16,37.728,1810944
6+1/2,38.032,1825536
6+9/16,38.416,1843968
6+5/8,38.752,1860096
6+11/16,39.04,1873920
6+3/4,39.44,1893120
6+7/8,40.064,1923072
6+1/1,40.608,1949184
6+9/8,41.152,1975296
6+5/4,41.712,2002176
6+11/8,42.208,2025984
7+0/1,42.688,2049024
7+1/8,43.344,2080512
7+1/4,43.712,2098176
7+3/8,44.208,2121984
7+1/2,44.848,2152704
7+5/8,45.376,2178048
7+3/4,45.952,2205696
7+7/8,46.56,2234880
7+1/1,47.12,2261760
7+9/8,47.696,2289408
7+5/4,48.304,2318592
7+11/8,48.832,2343936
8+0/1,49.504,2376192
8+1/8,50.368,2417664
8+1/4,51.024,2449152
8+3/8,51.616,2477568
8+7/16,51.968,2494464
8+1/2,52.336,2512128
8+9/16,52.64,2526720
8+5/8,53.152,2551296
8+11/16,53.552,2570496
8+3/4,54.048,2594304
8+7/8,54.768,2628864
8+1/1,55.408,2659584
8+9/8,56.032,2689536
8+5/4,56.816,2727168
8+11/8,57.376,2754048
9+0/1,57.984,2783232
9+1/8,58.576,2811648
9+1/4,59.072,2835456
9+3/8,59.632,2862336
9+1/2,60.256,2892288
9+5/8,60.8,2918400
9+3/4,61.424,2948352
9+7/8,61.968,2974464
9+1/1,62.464,2998272
9+9/8,63.024,3025152
9+5/4,63.552,3050496
9+11/8,64.032,3073536
10+0/1,64.608,3101184
10+1/8,65.2,3129600
10+1/4,65.776,3157248
10+3/8,66.368,3185664
10+1/2,67.072,3219456
10+9/16,67.408,3235584
10+5/8,67.76,3252480
10+23/32,68.336,3280128
10+3/4,68.704,3297792
10+7/8,69.344,3328512
10+1/1,69.904,3355392
10+9/8,70.448,3381504
10+5/4,70.944,3405312
10+11/8,71.472,3430656
11+0/1,72.256,3468288
11+1/8,72.832,3495936
11+1/4,73.328,3519744
11+3/8,73.872,3545856
11+1/2,74.368,3569664
11+5/8,74.848,3592704
11+3/4,75.44,3621120
11+7/8,75.92,3644160
11+1/1,76.464,3670272
11+9/8,77.024,3697152
11+5/4,77.504,3720192
11+11/8,78.032,3745536
12+0/1,78.608,3773184
12+1/8,79.168,3800064
12+1/4,79.712,3826176
12+3/8,80.208,3849984
12+1/2,80.736,3875328
12+5/8,81.264,3900672
12+3/4,81.888,3930624
12+7/8,82.672,3968256
12+1/1,83.504,4008192
