LABEL,TIME,FRAME
1+0/1,1.2,57600
2+0/1,7.792,374016
3+0/1,14.304,686592
4+0/1,21.248,1019904
5+0/1,29.248,1403904
6+0/1,35.92,1724160
7+0/1,42.688,2049024
8+0/1,49.504,2376192
9+0/1,57.984,2783232
10+0/1,64.608,3101184
11+0/1,72.256,3468288
12+0/1,78.608,3773184
13+0/1,86.768,4164864
14+0/1,94.416,4531968
15+0/1,101.408,4867584
16+0/1,108.08,5187840
17+0/1,117.696,5649408
18+0/1,124.384,5970432
19+0/1,131.632,6318336
20+0/1,137.872,6617856
21+0/1,145.552,6986496
22+0/1,152.624,7325952
23+0/1,159.52,7656960
24+0/1,166.368,7985664
25+0/1,176.096,8452608
26+0/1,183.344,8800512
27+0/1,191.872,9209856
28+0/1,200.016,9600768
29+0/1,209.456,10053888
30+0/1,216.8,10406400
31+0/1,223.168,10712064
32+0/1,229.216,11002368
