LABEL,TIME,FRAME
1+0/1,1.536,73728
2+0/1,8.384,402432
3+0/1,15.04,721920
4+0/1,21.408,1027584
5+0/1,28.542,1370016
6+0/1,34.614,1661472
7+0/1,40.998,1967904
8+0/1,47.92,2300160
9+0/1,55.266,2652768
10+0/1,61.686,2960928
11+0/1,68.736,3299328
12+0/1,74.704,3585792
13+0/1,82.506,3960288
14+0/1,89.826,4311648
15+0/1,96.336,4624128
16+0/1,103.232,4955136
17+0/1,111.474,5350752
18+0/1,117.888,5658624
19+0/1,124.686,5984928
20+0/1,130.624,6269952
21+0/1,138.45,6645600
22+0/1,145.974,7006752
23+0/1,152.724,7330752
24+0/1,159.822,7671456
25+0/1,168.312,8078976
26+0/1,174.684,8384832
27+0/1,181.504,8712192
28+0/1,188.192,9033216
29+0/1,195.84,9400320
30+0/1,201.852,9688896
31+0/1,207.525,9961216
32+0/1,213.232,10235136
