LABEL,TIME,FRAME
0+11/8,0.496,23808
1+0/1,1.536,73728
1+1/8,2.224,106752
1+1/4,2.848,136704
1+3/8,3.296,158208
1+1/2,3.744,179712
1+5/8,4.4,211200
1+3/4,4.98133,239104
1+7/8,5.6,268800
1+1/1,6.16,295680
1+9/8,6.66133,319744
1+5/4,7.216,346368
1+11/8,7.632,366336
2+0/1,8.384,402432
2+1/8,9.008,432384
2+1/4,9.584,460032
2+3/8,10.128,486144
2+1/2,10.56,506880
2+5/8,11.072,531456
2+3/4,11.552,554496
2+7/8,12.128,582144
2+1/1,12.72,610560
2+9/8,13.136,630528
2+5/4,13.728,658944
2+11/8,14.358,689184
3+0/1,15.04,721920
3+1/8,15.5627,747008
3+1/4,16.002,768096
3+3/8,16.496,791808
3+1/2,16.944,813312
3+5/8,17.472,838656
3+3/4,18.048,866304
3+7/8,18.608,893184
3+1/1,19.136,918528
3+9/8,19.616,941568
3+5/4,20.16,967680
3+11/8,20.768,996864
4+0/1,21.408,1027584
4+1/8,21.996,1055808
4+1/4,22.68,1088640
4+3/8,23.296,1118208
4+1/2,24,1152000
4+5/8,24.576,1179648
4+3/4,25.158,1207584
4+7/8,25.692,1233216
4+1/1,26.202,1257696
4+9/8,26.7,1281600
4+5/4,27.222,1306656
4+11/8,27.84,1336320
5+0/1,28.542,1370016
5+1/8,29.168,1400064
5+1/4,29.622,1421856
5+3/8,30.024,1441152
5+1/2,30.528,1465344
5+5/8,31.236,1499328
5+3/4,31.716,1522368
5+7/8,32.304,1550592
5+1/1,32.896,1579008
5+9/8,33.276,1597248
5+5/4,33.732,1619136
5+11/8,34.17,1640160
6+0/1,34.614,1661472
6+1/8,35.124,1685952
6+1/4,35.634,1710432
6+3/8,36.006,1728288
6+1/2,36.456,1749888
6+5/8,37.104,1780992
6+3/4,37.792,1814016
6+7/8,38.384,1842432
6+1/1,38.992,1871616
6+9/8,39.504,1896192
6+5/4,39.996,1919808
6+11/8,40.578,1947744
7+0/1,40.998,1967904
7+1/8,41.562,1994976
7+1/4,42.3,2030400
7+3/8,43.008,2064384
7+1/2,43.6,2092800
7+5/8,44.166,2119968
7+3/4,44.682,2144736
7+7/8,45.184,2168832
