LABEL,TIME,FRAME
0+11/8,0.384,18432
1+0/1,0.96,46080
1+1/8,1.616,77568
1+1/4,2.064,99072
1+3/8,2.56,122880
1+1/2,3.056,146688
1+5/8,3.568,171264
1+3/4,4.096,196608
1+7/8,4.672,224256
1+1/1,5.136,246528
1+9/8,5.648,271104
1+5/4,6.176,296448
1+11/8,6.656,319488
2+0/1,7.232,347136
2+1/8,7.84,376320
2+1/4,8.384,402432
2+3/8,9.184,440832
2+1/2,9.792,470016
2+5/8,10.24,491520
2+3/4,10.816,519168
2+7/8,11.472,550656
2+1/1,12.048,578304
2+9/8,12.496,599808
2+5/4,13.072,627456
2+11/8,13.648,655104
3+0/1,14.208,681984
3+1/8,14.784,709632
3+1/4,15.28,733440
3+3/8,15.792,758016
3+1/2,16.4,787200
3+5/8,17.056,818688
3+3/4,17.616,845568
3+7/8,18.16,871680
3+1/1,18.592,892416
3+9/8,19.12,917760
3+5/4,19.648,943104
3+11/8,20.16,967680
4+0/1,20.704,993792
4+1/8,21.344,1024512
4+1/4,21.92,1052160
4+3/8,22.688,1089024
4+7/16,23.136,1110528
4+1/2,23.584,1132032
4+9/16,23.872,1145856
4+5/8,24.16,1159680
4+11/16,24.448,1173504
4+3/4,24.896,1195008
4+7/8,25.616,1229568
4+1/1,26.144,1254912
4+9/8,26.624,1277952
4+5/4,27.168,1304064
4+11/8,27.712,1330176
5+0/1,28.352,1360896
5+1/8,28.944,1389312
5+1/4,29.424,1412352
5+3/8,29.936,1436928
5+7/16,30.256,1452288
5+1/2,30.624,1469952
5+9/16,30.832,1479936
5+5/8,31.12,1493760
5+11/16,31.328,1503744
5+3/4,31.68,1520640
5+7/8,32.256,1548288
5+1/1,32.992,1583616
5+9/8,33.424,1604352
5+19/16,33.664,1615872
5+5/4,33.968,1630464
5+21/16,34.224,1642752
5+11/8,34.448,1653504
5+23/16,34.688,1665024
6+0/1,35.024,1681152
6+1/16,35.344,1696512
6+1/8,35.664,1711872
6+3/16,35.936,1724928
6+1/4,36.192,1737216
6+5/16,36.4,1747200
6+3/8,36.656,1759488
6+7/16,36.88,1770240
6+1/2,37.136,1782528
6+9/16,37.424,1796352
6+5/8,37.776,1813248
6+11/16,38.192,1833216
6+3/4,38.608,1853184
6+7/8,39.216,1882368
6+1/1,39.728,1906944
6+9/8,40.32,1935360
6+5/4,40.928,1964544
6+11/8,41.44,1989120
7+0/1,42.112,2021376
7+1/8,42.736,2051328
7+1/4,43.328,2079744
7+3/8,44.096,2116608
7+1/2,44.768,2148864
7+5/8,45.312,2174976
7+3/4,45.792,2198016
7+7/8,46.384,2226432
7+1/1,46.832,2247936
7+9/8,47.36,2273280
7+5/4,47.904,2299392
7+11/8,48.4,2323200
8+0/1,48.976,2350848
8+1/8,49.68,2384640
8+1/4,50.304,2414592
8+3/8,51.12,2453760
8+7/16,51.488,2471424
8+1/2,51.888,2490624
8+9/16,52.08,2499840
8+5/8,52.608,2525184
8+11/16,53.024,2545152
8+3/4,53.408,2563584
8+7/8,54.048,2594304
8+1/1,54.512,2616576
8+9/8,54.96,2638080
8+5/4,55.456,2661888
8+11/8,55.888,2682624
9+0/1,56.416,2707968
9+1/8,56.96,2734080
9+1/4,57.392,2754816
9+3/8,57.824,2775552
9+1/2,58.304,2798592
9+5/8,58.688,2817024
9+3/4,59.312,2846976
9+7/8,59.856,2873088
9+1/1,60.368,2897664
9+9/8,60.768,2916864
