LABEL,TIME,FRAME
1+0/1,0.96,46080
2+0/1,7.232,347136
3+0/1,14.208,681984
4+0/1,20.704,993792
5+0/1,28.352,1360896
6+0/1,35.024,1681152
7+0/1,42.112,2021376
8+0/1,48.976,2350848
9+0/1,56.416,2707968
10+0/1,62.464,2998272
11+0/1,69.696,3345408
12+0/1,75.536,3625728
13+0/1,83.504,4008192
14+0/1,90.56,4346880
15+0/1,97.376,4674048
16+0/1,104.432,5012736
17+0/1,112.544,5402112
18+0/1,118.864,5705472
19+0/1,126.112,6053376
20+0/1,132.048,6338304
21+0/1,139.84,6712320
22+0/1,147.248,7067904
23+0/1,154.624,7421952
24+0/1,162.016,7776768
25+0/1,170.32,8175360
26+0/1,176.816,8487168
27+0/1,184.8,8870400
28+0/1,191.936,9212928
29+0/1,200.256,9612288
30+0/1,207.584,9964032
31+0/1,213.392,10242816
32+0/1,219.648,10543104
