LABEL,TIME,FRAME
1+0/1,1.952,93696
2+0/1,8.352,400896
3+0/1,14.848,712704
4+0/1,20.384,978432
5+0/1,27.232,1307136
6+0/1,33.664,1615872
7+0/1,40.432,1940736
8+0/1,46.464,2230272
9+0/1,53.616,2573568
10+0/1,59.632,2862336
11+0/1,66.832,3207936
12+0/1,72.576,3483648
13+0/1,79.6,3820800
14+0/1,86.928,4172544
15+0/1,93.744,4499712
16+0/1,99.808,4790784
17+0/1,107.168,5144064
18+0/1,113.28,5437440
19+0/1,120.416,5779968
20+0/1,125.888,6042624
21+0/1,132.8,6374400
22+0/1,140.224,6730752
23+0/1,147.152,7063296
24+0/1,153.168,7352064
25+0/1,160.832,7719936
26+0/1,167.168,8024064
27+0/1,174.672,8384256
28+0/1,182.128,8742144
29+0/1,189.872,9113856
30+0/1,196.112,9413376
31+0/1,201.584,9676032
32+0/1,206.512,9912576
