LABEL,TIME,FRAME
0+11/8,5.024,241152
1+0/1,5.728,274944
1+1/8,6.56,314880
1+1/4,7.168,344064
1+3/8,7.632,366336
1+1/2,8.224,394752
1+5/8,8.976,430848
1+3/4,9.824,471552
1+7/8,10.384,498432
1+1/1,10.896,523008
1+9/8,11.408,547584
1+5/4,11.968,574464
1+11/8,12.464,598272
2+0/1,13.072,627456
2+1/8,13.584,652032
2+1/4,14.08,675840
2+3/8,14.816,711168
2+1/2,15.504,744192
2+5/8,15.968,766464
2+3/4,16.704,801792
2+7/8,17.424,836352
2+1/1,17.952,861696
2+9/8,18.544,890112
2+5/4,19.072,915456
2+11/8,19.584,940032
3+0/1,20.208,969984
3+1/8,20.768,996864
3+1/4,21.344,1024512
3+3/8,21.952,1053696
3+1/2,22.528,1081344
3+5/8,23.008,1104384
3+3/4,23.808,1142784
3+7/8,24.432,1172736
3+1/1,24.928,1196544
3+9/8,25.616,1229568
3+5/4,26.224,1258752
3+11/8,26.784,1285632
4+0/1,27.52,1320960
4+1/8,28.56,1370880
4+1/4,29.312,1406976
4+3/8,30.24,1451520
4+7/16,30.624,1469952
4+1/2,31.008,1488384
4+9/16,31.264,1500672
4+5/8,31.584,1516032
4+11/16,31.904,1531392
4+3/4,32.16,1543680
4+7/8,32.816,1575168
4+1/1,33.328,1599744
4+9/8,33.888,1626624
4+5/4,34.368,1649664
4+11/8,34.976,1678848
5+0/1,35.824,1719552
5+1/8,36.512,1752576
5+1/4,37.072,1779456
5+3/8,37.632,1806336
5+7/16,38.16,1831680
5+1/2,38.368,1841664
5+9/16,38.864,1865472
5+5/8,39.184,1880832
5+11/16,39.504,1896192
5+3/4,39.696,1905408
5+7/8,40.32,1935360
5+1/1,40.816,1959168
5+9/8,41.28,1981440
5+19/16,41.536,1993728
5+5/4,41.84,2008320
5+21/16,42.144,2022912
5+11/8,42.368,2033664
5+23/16,42.624,2045952
6+0/1,42.848,2056704
6+1/16,43.152,2071296
6+1/8,43.392,2082816
6+3/16,43.648,2095104
6+1/4,43.968,2110464
6+5/16,44.256,2124288
6+3/8,44.656,2143488
6+7/16,45.008,2160384
6+1/2,45.424,2180352
6+9/16,45.904,2203392
6+5/8,46.56,2234880
6+11/16,47.264,2268672
6+3/4,47.824,2295552
6+7/8,48.576,2331648
6+1/1,49.2,2361600
6+9/8,49.792,2390016
6+5/4,50.432,2420736
6+11/8,51.072,2451456
7+0/1,51.696,2481408
7+1/8,52.544,2522112
7+1/4,53.488,2567424
7+3/8,54.752,2628096
7+1/2,55.456,2661888
7+5/8,55.936,2684928
7+3/4,56.72,2722560
7+7/8,57.328,2751744
7+1/1,57.84,2776320
7+9/8,58.416,2803968
7+5/4,58.992,2831616
7+11/8,59.536,2857728
8+0/1,60.208,2889984
8+1/8,61.168,2936064
8+1/4,62.192,2985216
8+3/8,63.104,3028992
8+7/16,63.568,3051264
8+1/2,63.968,3070464
8+9/16,64.352,3088896
8+5/8,64.608,3101184
8+11/16,65.28,3133440
8+3/4,65.6,3148800
8+7/8,66.272,3181056
8+1/1,66.816,3207168
8+9/8,67.344,3232512
8+5/4,67.92,3260160
8+11/8,68.688,3297024
9+0/1,69.264,3324672
9+1/8,69.904,3355392
9+1/4,70.448,3381504
9+3/8,71.056,3410688
9+1/2,71.536,3433728
9+5/8,72.24,3467520
9+3/4,72.944,3501312
9+7/8,73.584,3532032
9+1/1,74.176,3560448
9+9/8,74.688,3585024
9+5/4,75.264,3612672
9+11/8,75.92,3644160
10+0/1,76.608,3677184
10+1/8,77.472,3718656
10+1/4,78.288,3757824
10+3/8,79.312,3806976
10+1/2,80.528,3865344
10+9/16,80.912,3883776
10+5/8,81.28,3901440
10+23/32,81.648,3919104
10+3/4,81.952,3933696
10+7/8,82.592,3964416
10+1/1,83.136,3990528
10+9/8,83.696,4017408
10+5/4,84.256,4044288
10+11/8,84.768,4068864
11+0/1,85.248,4091904
11+1/8,86.032,4129536
11+1/4,86.544,4154112
11+3/8,87.072,4179456
11+1/2,87.616,4205568
11+5/8,88.112,4229376
11+3/4,88.736,4259328
11+7/8,89.296,4286208
11+1/1,89.872,4313856
11+9/8,90.432,4340736
11+5/4,90.96,4366080
11+11/8,91.536,4393728
12+0/1,92.256,4428288
12+1/8,92.88,4458240
12+1/4,93.424,4484352
12+3/8,94.048,4514304
12+1/2,94.672,4544256
12+5/8,95.184,4568832
12+3/4,95.824,4599552
12+7/8,96.496,4631808
12+1/1,97.28,4669440
12+9/8,98.032,4705536
12+5/4,99.056,4754688
