LABEL,TIME,FRAME
1+0/1,5.728,274944
2+0/1,13.072,627456
3+0/1,20.208,969984
4+0/1,27.52,1320960
5+0/1,35.824,1719552
6+0/1,42.848,2056704
7+0/1,51.696,2481408
8+0/1,60.208,2889984
9+0/1,69.264,3324672
10+0/1,76.608,3677184
11+0/1,85.248,4091904
12+0/1,92.256,4428288
13+0/1,102.496,4919808
14+0/1,110.64,5310720
15+0/1,119.296,5726208
16+0/1,127.344,6112512
17+0/1,136.224,6538752
18+0/1,143.6,6892800
19+0/1,151.92,7292160
20+0/1,158.688,7617024
21+0/1,169.536,8137728
22+0/1,178.032,8545536
23+0/1,186.816,8967168
24+0/1,195.328,9375744
25+0/1,203.968,9790464
26+0/1,211.328,10143744
27+0/1,218.288,10477824
28+0/1,226.128,10854144
29+0/1,233.52,11208960
30+0/1,240.944,11565312
31+0/1,246.496,11831808
32+0/1,253.856,12185088
