LABEL,TIME,FRAME
1+0/1,1.168,56064
2+0/1,7.696,369408
3+0/1,14.752,708096
4+0/1,21.888,1050624
5+0/1,30.032,1441536
6+0/1,36.896,1771008
7+0/1,43.952,2109696
8+0/1,51.344,2464512
9+0/1,59.712,2866176
10+0/1,65.984,3167232
11+0/1,73.376,3522048
12+0/1,78.784,3781632
13+0/1,86.928,4172544
14+0/1,94.304,4526592
15+0/1,101.248,4859904
16+0/1,109.168,5240064
17+0/1,118.064,5667072
18+0/1,123.568,5931264
19+0/1,130.352,6256896
20+0/1,136.016,6528768
21+0/1,144.624,6941952
22+0/1,151.488,7271424
23+0/1,158.512,7608576
24+0/1,165.904,7963392
25+0/1,174.256,8364288
26+0/1,180.816,8679168
27+0/1,188.32,9039360
28+0/1,197.056,9458688
29+0/1,205.04,9841920
30+0/1,211.728,10162944
31+0/1,218.08,10467840
32+0/1,224.048,10754304
