LABEL,TIME,FRAME
0+11/8,0.512,24576
1+0/1,1.168,56064
1+1/8,1.68,80640
1+1/4,2.208,105984
1+3/8,2.688,129024
1+1/2,3.28,157440
1+5/8,3.856,185088
1+3/4,4.32,207360
1+7/8,4.832,231936
1+1/1,5.408,259584
1+9/8,5.904,283392
1+5/4,6.464,310272
1+11/8,7.104,340992
2+0/1,7.696,369408
2+1/8,8.256,396288
2+1/4,8.88,426240
2+3/8,9.648,463104
2+1/2,10.272,493056
2+5/8,10.832,519936
2+3/4,11.424,548352
2+7/8,11.904,571392
2+1/1,12.448,597504
2+9/8,12.944,621312
2+5/4,13.456,645888
2+11/8,14.112,677376
3+0/1,14.752,708096
3+1/8,15.344,736512
3+1/4,15.888,762624
3+3/8,16.432,788736
3+1/2,16.976,814848
3+5/8,17.6,844800
3+3/4,18.224,874752
3+7/8,18.768,900864
3+1/1,19.36,929280
3+9/8,19.904,955392
3+5/4,20.512,984576
3+11/8,21.216,1018368
4+0/1,21.888,1050624
4+1/8,22.656,1087488
4+1/4,23.424,1124352
4+3/8,24.128,1158144
4+1/2,24.864,1193472
4+5/8,25.44,1221120
4+3/4,26.08,1251840
4+7/8,26.72,1282560
4+1/1,27.248,1307904
4+9/8,27.792,1334016
4+5/4,28.4,1363200
4+11/8,29.168,1400064
5+0/1,30.032,1441536
5+1/8,30.624,1469952
5+1/4,31.2,1497600
5+3/8,31.808,1526784
5+1/2,32.592,1564416
5+5/8,33.104,1588992
5+3/4,33.616,1613568
5+7/8,34.288,1645824
5+1/1,34.832,1671936
5+9/8,35.312,1694976
5+5/4,35.952,1725696
5+11/8,36.4,1747200
6+0/1,36.896,1771008
6+1/8,37.552,1802496
6+1/4,38.112,1829376
6+3/8,38.512,1848576
6+1/2,39.072,1875456
6+5/8,39.872,1913856
6+3/4,40.544,1946112
6+7/8,41.072,1971456
6+1/1,41.632,1998336
6+9/8,42.096,2020608
6+5/4,42.608,2045184
6+11/8,43.264,2076672
7+0/1,43.952,2109696
7+1/8,44.56,2138880
7+1/4,45.152,2167296
7+3/8,45.76,2196480
7+1/2,46.352,2224896
7+5/8,46.864,2249472
7+3/4,47.424,2276352
7+7/8,47.984,2303232
7+1/1,48.656,2335488
7+9/8,49.28,2365440
7+5/4,49.952,2397696
7+11/8,50.592,2428416
8+0/1,51.344,2464512
8+1/8,52.128,2502144
8+1/4,52.912,2539776
8+3/8,53.68,2576640
8+1/2,54.736,2627328
8+5/8,55.392,2658816
8+3/4,56.016,2688768
8+7/8,56.64,2718720
8+1/1,57.168,2744064
8+9/8,57.632,2766336
8+5/4,58.384,2802432
8+11/8,59.056,2834688
9+0/1,59.712,2866176
9+1/8,60.352,2896896
9+1/4,60.832,2919936
9+3/8,61.296,2942208
9+1/2,61.728,2962944
9+5/8,62.304,2990592
9+3/4,62.88,3018240
9+7/8,63.312,3038976
9+1/1,63.856,3065088
9+9/8,64.288,3085824
9+5/4,64.768,3108864
9+11/8,65.344,3136512
10+0/1,65.984,3167232
10+1/8,66.752,3204096
10+1/4,67.264,3228672
10+3/8,67.856,3257088
10+1/2,68.496,3287808
10+5/8,69.232,3323136
10+3/4,70.208,3369984
10+7/8,70.832,3399936
10+1/1,71.36,3425280
10+9/8,71.792,3446016
10+5/4,72.272,3469056
10+11/8,72.736,3491328
11+0/1,73.376,3522048
11+1/8,73.968,3550464
11+1/4,74.416,3571968
11+3/8,74.912,3595776
11+1/2,75.36,3617280
11+5/8,75.776,3637248
11+3/4,76.224,3658752
11+7/8,76.656,3679488
11+1/1,77.04,3697920
11+9/8,77.44,3717120
11+5/4,77.92,3740160
11+11/8,78.32,3759360
12+0/1,78.784,3781632
12+1/8,79.312,3806976
12+1/4,79.888,3834624
12+3/8,80.384,3858432
12+1/2,81.024,3889152
12+5/8,81.456,3909888
12+3/4,81.952,3933696
12+7/8,82.432,3956736
12+1/1,82.976,3982848
12+9/8,83.616,4013568
12+5/4,84.352,4048896
12+11/8,85.312,4094976
13+0/1,86.928,4172544
13+1/8,87.76,4212480
13+1/4,88.384,4242432
13+3/8,89.088,4276224
13+1/2,89.584,4300032
13+5/8,90.096,4324608
13+3/4,91.024,4369152
13+7/8,91.664,4399872
13+1/1,92.304,4430592
13+9/8,92.816,4455168
13+5/4,93.296,4478208
13+11/8,93.872,4505856
14+0/1,94.304,4526592
14+1/8,94.992,4559616
14+1/4,95.44,4581120
14+3/8,95.936,4604928
14+1/2,96.48,4631040
14+5/8,97.2,4665600
14+3/4,97.872,4697856
14+7/8,98.384,4722432
14+1/1,98.928,4748544
14+9/8,99.408,4771584
14+5/4,99.872,4793856
14+11/8,100.464,4822272
15+0/1,101.248,4859904
15+1/8,101.84,4888320
15+1/4,102.592,4924416
15+3/8,103.328,4959744
15+1/2,104.064,4995072
15+5/8,104.592,5020416
15+3/4,105.216,5050368
15+7/8,105.76,5076480
15+1/1,106.384,5106432
15+9/8,107.056,5138688
15+5/4,107.664,5167872
15+11/8,108.32,5199360
16+0/1,109.168,5240064
16+1/8,110.064,5283072
16+1/4,110.864,5321472
16+3/8,111.52,5352960
16+1/2,112.768,5412864
16+5/8,113.488,5447424
16+3/4,114.624,5501952
16+7/8,115.28,5533440
16+1/1,115.84,5560320
16+9/8,116.32,5583360
16+5/4,117.008,5616384
16+11/8,117.52,5640960
17+0/1,118.064,5667072
17+1/8,118.544,5690112
17+1/4,119.024,5713152
17+3/8,119.408,5731584
17+1/2,119.84,5752320
17+5/8,120.304,5774592
17+3/4,120.8,5798400
17+7/8,121.216,5818368
17+1/1,121.696,5841408
17+9/8,122.096,5860608
17+5/4,122.528,5881344
17+11/8,123.04,5905920
18+0/1,123.568,5931264
18+1/8,124.352,5968896
18+1/4,125.12,6005760
18+3/8,125.632,6030336
18+1/2,126.192,6057216
18+5/8,126.8,6086400
18+3/4,127.552,6122496
18+7/8,128.112,6149376
18+1/1,128.592,6172416
18+9/8,128.976,6190848
18+5/4,129.408,6211584
18+11/8,129.808,6230784
19+0/1,130.352,6256896
19+1/8,130.896,6283008
19+1/4,131.424,6308352
19+3/8,131.808,6326784
19+1/2,132.256,6348288
19+5/8,132.672,6368256
19+3/4,133.072,6387456
19+7/8,133.52,6408960
19+1/1,133.984,6431232
19+9/8,134.512,6456576
19+5/4,134.992,6479616
19+11/8,135.456,6501888
20+0/1,136.016,6528768
20+1/8,136.56,6554880
20+1/4,137.232,6587136
20+3/8,137.856,6617088
20+1/2,138.56,6650880
20+5/8,139.056,6674688
20+3/4,139.536,6697728
20+7/8,140.08,6723840
20+1/1,140.688,6753024
20+9/8,141.344,6784512
20+5/4,142.096,6820608
20+11/8,143.056,6866688
21+0/1,144.624,6941952
21+1/8,145.328,6975744
21+1/4,146.064,7011072
21+3/8,146.64,7038720
21+1/2,147.04,7057920
21+5/8,147.552,7082496
21+3/4,148.256,7116288
21+7/8,148.848,7144704
21+1/1,149.536,7177728
21+9/8,150.016,7200768
21+5/4,150.592,7228416
21+11/8,151.056,7250688
22+0/1,151.488,7271424
22+1/8,152.096,7300608
22+1/4,152.512,7320576
22+3/8,152.976,7342848
22+1/2,153.504,7368192
22+5/8,154.224,7402752
22+3/4,154.912,7435776
22+7/8,155.44,7461120
22+1/1,156.048,7490304
